Model,File Name,n,reference,Units,type,quality.rating,set,select,bgcpaper,tmp,enaR,in.Ulanowicz,in.50set
''ERDA Lake'',''Lake_ERDA_Conf.dat'',6,,,BGC,,,1,0,,0,,
''ERDA Ocean'',''Ocean_ERDA_Conf.dat'',6,,,BGC,,,1,0,,0,,
''ERDA Salt Marsh'',''Salt_Marsh_ERDA_Conf.dat'',6,,,BGC,,,1,0,,0,,
''ERDA Stream'',''Stream_ERDA_Conf.dat'',6,,,BGC,,,1,0,,0,,
''ERDA Temperate Forest'',''Temperate_Forest_ERDA_Conf.dat'',6,,,BGC,,,1,0,,0,,
''ERDA Tropical Forest'',''Tropical_Forest_ERDA_Conf.dat'',6,,,BGC,,,1,0,,0,,
''ERDA Tundra'',''Tundra_ERDA_Conf.dat'',6,,,BGC,,,1,0,,0,,
''Florida Bay (dry)'',''atlss_floridabay_dry.dat'',125,'' \citet{ulanowicz98_fb}'',''mg C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Florida Bay (wet)'',''atlss_floridabay_wet.dat'',125,'' \citet{ulanowicz98_fb}'',''mg C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Georges Bank'',''GB-EMAX2006.dat'',31,'' \citet{link08}'',''g ww m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Graminoids (dry)'',''atlss_graminoids_dry.dat'',66,''  \citet{ulanowicz00_graminoids}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Graminoids (wet)'',''atlss_graminoids_wet.dat'',66,'' \citet{ulanowicz00_graminoids}'',''g C m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Gulf of Maine'',''GoM-EMAX2006.dat'',31,''  \citet{link08}'',''g ww m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''Hardwood Forest, NH (Ca)''",''New_Hampshire_Ca.dat'',4,''\citet{jordan72}'',''kg Ca Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,1,
''Hubbard Brook (Ca)'',''hubbard_brook_Ca.dat'',5,''\citet{finn80}'',''kg Ca Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,0,0,0,not at steady state,
''Hubbard Brook (Ca)(Waide)'',''Hubbard_brook_CA_Waide.dat'',4,''\citet{waide74}'',''kg Ca Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,1,
''Illinois Wetland P (Site 1)'',''Illinois_wetland_1_P.dat'',7,''\citet{wang00}'',''g P m$^{-2}$  yr$^{-1}$'',BGC,,,1,0,1,0,,
''Illinois Wetland P (Site 2)'',''Illinois_wetland_2_P.dat'',7,''\citet{wang00}'',''g P m$^{-2}$  yr$^{-1}$'',BGC,,,1,0,1,0,,
''Illinois Wetland P (Site 3)'',''Illinois_wetland_3_P.dat'',7,''\citet{wang00}'',''g P m$^{-2}$  yr$^{-1}$'',BGC,,,1,0,1,0,,
